trade_id,date,strategy,contract,strike,direction,entry,entry_value,exit_price,exit_value,pnl_rs,exit_reason,lots_at_entry,capital_at_entry,equity_after,entry_time,exit_time,year,instrument,stop,target,pnl_pts,win,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,atm_strike,opt_type,expiry,dte,premium_entry,premium_exit,margin_per_lot,per_trade_risk_pct
11,2024-07-31,OPT_ORB,NSE-BANKNIFTY-2024-07-31-51800-CE,51800.0,LONG,51826.65,5076.75,51778.3,2538.9,-2578.38,STOP LOSS,7,114411.75,111833.37,2024-07-31 10:00:00,2024-07-31 11:00:00,2024,NSE-BANKNIFTY,51564.4,52121.69,-24.175,0,0.9943,1,1450.5,298.3,,,,,,655.64,,neutral,True,,51800.0,CE,2024-07-31,0.0,48.35,24.18,1450.5,0.1
12,2024-08-13,OPT_ORB,NSE-BANKNIFTY-2024-08-14-50500-PE,50500.0,SHORT,50483.25,4528.5,50477.45,4485.0,-83.5,SQUARE OFF,1,111833.37,111749.87,2024-08-13 10:15:00,2024-08-13 12:00:00,2024,NSE-BANKNIFTY,50757.04,50175.24,-2.9,0,0.449,1,9057.0,-134.7,,,,,,684.47,,neutral,True,,50500.0,PE,2024-08-14,1.0,301.9,299.0,9057.0,0.1
13,2024-08-20,ORB,NSE-BANKNIFTY-28Aug24-FUT,FUT,LONG,50860.0,762900.0,50868.0,763020.0,80.0,SQUARE OFF,1,111749.87,111829.87,2024-08-20 10:00:00,2024-08-20 15:30:00,2024,NSE-BANKNIFTY,50612.04,51138.95,8.0,1,0.5646,30,75000.0,58.95,0.117,0.095,248.8,247.96,278.95,619.9,0.0,neutral,True,,,,,,,,,
14,2024-10-01,VWAP_REV,NSE-BANKNIFTY-30Oct24-FUT,FUT,LONG,53451.0,801765.0,53376.05,800640.75,-1164.25,SQUARE OFF,1,111829.87,110665.62,2024-10-01 11:15:00,2024-10-01 14:45:00,2024,NSE-BANKNIFTY,53197.13,53831.8,-74.95,0,0.038,30,75000.0,32.35,,,,253.87,380.8,507.74,,neutral,True,0.019,,,,,,,,
15,2024-10-08,ORB,NSE-BANKNIFTY-30Oct24-FUT,FUT,LONG,51358.0,770370.0,51435.0,771525.0,1115.0,SQUARE OFF,1,110665.62,111780.62,2024-10-08 10:15:00,2024-10-08 15:30:00,2024,NSE-BANKNIFTY,51131.51,51612.8,77.0,1,0.4595,30,75000.0,62.1,0.122,0.11,401.9,226.49,254.8,566.21,0.0,neutral,True,,,,,,,,,
16,2024-10-09,VWAP_REV,NSE-BANKNIFTY-30Oct24-FUT,FUT,SHORT,51567.0,773505.0,51860.58,777908.7,-4443.7,STOP LOSS,1,111780.62,107336.92,2024-10-09 10:15:00,2024-10-09 10:30:00,2024,NSE-BANKNIFTY,51860.58,51126.63,-293.58,0,0.2164,30,75000.0,25.0,,,,293.58,440.37,587.16,,neutral,True,0.108,,,,,,,,
17,2024-10-25,OPT_ORB,NSE-BANKNIFTY-2024-10-30-50700-PE,50700.0,SHORT,50665.0,6190.5,50697.4,6433.5,203.0,SQUARE OFF,1,107336.92,107539.92,2024-10-25 10:00:00,2024-10-25 12:00:00,2024,NSE-BANKNIFTY,50955.87,50337.77,16.2,1,0.492,1,12381.0,-147.6,,,,,,727.19,,neutral,True,,50700.0,PE,2024-10-30,5.0,412.7,428.9,12381.0,0.1
18,2024-11-05,VWAP_REV,NSE-BANKNIFTY-27Nov24-FUT,FUT,SHORT,51426.2,771393.0,51791.85,776877.75,-5524.75,STOP LOSS,1,107539.92,102015.17,2024-11-05 10:30:00,2024-11-05 13:15:00,2024,NSE-BANKNIFTY,51791.85,50877.73,-365.65,0,0.3907,30,75000.0,35.0,,,,365.65,548.47,731.29,,neutral,True,0.195,,,,,,,,
19,2024-11-08,ORB,NSE-BANKNIFTY-27Nov24-FUT,FUT,SHORT,51735.5,776032.5,52046.98,780704.7,-4712.2,STOP LOSS,1,102015.17,97302.97,2024-11-08 11:45:00,2024-11-08 13:15:00,2024,NSE-BANKNIFTY,52046.98,51385.08,-311.48,0,0.4944,30,75000.0,64.95,0.124,0.083,327.05,311.48,350.42,778.71,0.0,neutral,True,,,,,,,,,
20,2024-11-19,OPT_ORB,NSE-BANKNIFTY-2024-11-27-51000-CE,51000.0,LONG,50980.0,5611.5,51038.7,6051.75,400.25,SQUARE OFF,1,97302.97,97703.22,2024-11-19 10:15:00,2024-11-19 12:00:00,2024,NSE-BANKNIFTY,50678.37,51319.33,29.35,1,0.4918,1,11223.0,147.55,,,,,,754.07,,neutral,True,,51000.0,CE,2024-11-27,8.0,374.1,403.45,11223.0,0.1
21,2024-11-29,VWAP_REV,NSE-BANKNIFTY-24Dec24-FUT,FUT,LONG,52330.0,1569900.0,52366.9,1571007.0,1067.0,SQUARE OFF,1,97703.22,98770.22,2024-11-29 10:45:00,2024-11-29 14:45:00,2024,NSE-BANKNIFTY,51974.88,52862.68,36.9,1,0.0814,30,75000.0,49.85,,,,355.12,532.68,710.24,,neutral,True,0.041,,,,,,,,
22,2024-12-03,OPT_ORB,NSE-BANKNIFTY-2024-12-24-52700-CE,52700.0,LONG,52724.0,24390.0,52818.1,25801.5,1371.5,SQUARE OFF,1,98770.22,100141.72,2024-12-03 10:00:00,2024-12-03 12:00:00,2024,NSE-BANKNIFTY,52446.04,53036.7,47.05,1,0.4,1,24390.0,120.0,,,,,,694.89,,neutral,True,,52700.0,CE,2024-12-24,21.0,813.0,860.05,24390.0,0.1
23,2024-12-04,VWAP_REV,NSE-BANKNIFTY-24Dec24-FUT,FUT,SHORT,53087.0,1592610.0,53422.7,1602681.0,-10111.0,STOP LOSS,1,100141.72,90030.72,2024-12-04 11:45:00,2024-12-04 13:30:00,2024,NSE-BANKNIFTY,53422.7,52583.45,-335.7,0,0.1925,30,75000.0,33.55,,,,335.7,503.55,671.4,,neutral,True,0.096,,,,,,,,
24,2024-12-05,VWAP_REV,NSE-BANKNIFTY-24Dec24-FUT,FUT,LONG,53264.0,1597920.0,53746.63,1612398.9,14438.9,TARGET HIT,1,90030.72,104469.62,2024-12-05 11:45:00,2024-12-05 12:15:00,2024,NSE-BANKNIFTY,52942.24,53746.63,482.63,1,0.0078,30,75000.0,45.95,,,,321.76,482.63,643.51,,neutral,True,0.004,,,,,,,,
25,2024-12-13,ORB,NSE-BANKNIFTY-24Dec24-FUT,FUT,SHORT,52790.5,1583715.0,52546.34,1576390.2,7284.8,TARGET HIT,1,104469.62,111754.42,2024-12-13 10:00:00,2024-12-13 10:30:00,2024,NSE-BANKNIFTY,53007.53,52546.34,244.16,1,0.532,30,75000.0,85.45,0.16,0.157,472.9,217.03,244.16,542.58,0.0,neutral,True,,,,,,,,,
26,2024-12-17,OPT_ORB,NSE-BANKNIFTY-2024-12-24-53300-PE,53300.0,SHORT,53335.0,15684.0,53777.1,22315.5,6591.5,SQUARE OFF,1,111754.42,118345.92,2024-12-17 10:00:00,2024-12-17 12:00:00,2024,NSE-BANKNIFTY,53571.16,53069.32,221.05,1,0.5867,1,15683.999999999998,-176.0,,,,,,590.4,,neutral,True,,53300.0,PE,2024-12-24,7.0,522.8,743.85,15683.999999999998,0.1
27,2024-12-18,ORB,NSE-BANKNIFTY-24Dec24-FUT,FUT,SHORT,52545.2,1576356.0,52266.49,1567994.7,8321.3,TARGET HIT,1,118345.92,126667.22,2024-12-18 10:00:00,2024-12-18 12:30:00,2024,NSE-BANKNIFTY,52792.94,52266.49,278.71,1,0.5748,30,75000.0,64.7,0.122,0.104,311.95,247.74,278.71,619.36,0.0,neutral,True,,,,,,,,,
28,2024-12-20,OPT_ORB,NSE-BANKNIFTY-2024-12-24-51300-PE,51300.0,SHORT,51275.0,13800.0,50861.3,7594.5,-6245.5,SQUARE OFF,1,126667.22,120421.72,2024-12-20 10:00:00,2024-12-20 12:00:00,2024,NSE-BANKNIFTY,51524.22,50994.63,-206.85,0,0.4747,1,13800.0,-142.4,,,,,,623.05,,neutral,True,,51300.0,PE,2024-12-24,4.0,460.0,253.15,13800.0,0.1
29,2024-12-27,VWAP_REV,NSE-BANKNIFTY-30Jan25-FUT,FUT,SHORT,51842.35,1555270.5,51665.0,1549950.0,5280.5,SQUARE OFF,1,120421.72,125702.22,2024-12-27 11:15:00,2024-12-27 14:45:00,2024,NSE-BANKNIFTY,52155.04,51373.31,177.35,1,0.0585,30,75000.0,1.95,,,,312.69,469.04,625.39,,neutral,True,0.029,,,,,,,,
