trade_id,date,period,strategy,contract,strike,direction,entry,entry_value,exit_price,exit_value,pnl_rs,exit_reason,lots_at_entry,capital_at_entry,equity_after,entry_time,exit_time,year,instrument,stop,target,pnl_pts,win,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,atm_strike,opt_type,expiry,dte,premium_entry,premium_exit,margin_per_lot,per_trade_risk_pct
15,2023-06-20,PRE-IS,ORB,NSE-BANKNIFTY-28Jun23-FUT,FUT,SHORT,43457.0,2172850.0,43597.19,2179859.5,-7049.5,STOP LOSS,2,240945.25,233895.75,2023-06-20 10:15:00,2023-06-20 12:45:00,2023,NSE-BANKNIFTY,43597.19,43299.28,-140.19,0,0.8113,30,75000.0,51.0,0.116,0.146,215.45,140.19,157.72,350.48,0.0,neutral,True,,,,,,,,,
16,2023-06-21,PRE-IS,VWAP_REV,NSE-BANKNIFTY-28Jun23-FUT,FUT,LONG,43908.1,2195405.0,43948.4,2197420.0,1975.0,SQUARE OFF,2,233895.75,235870.75,2023-06-21 12:30:00,2023-06-21 14:45:00,2023,NSE-BANKNIFTY,43731.93,44172.36,40.3,1,0.068,30,75000.0,20.55,,,,176.17,264.26,352.35,,neutral,True,0.034,,,,,,,,
17,2023-06-22,PRE-IS,VWAP_REV,NSE-BANKNIFTY-28Jun23-FUT,FUT,LONG,44046.05,2202302.5,43876.21,2193810.5,-8532.0,STOP LOSS,2,235870.75,227338.75,2023-06-22 13:30:00,2023-06-22 14:15:00,2023,NSE-BANKNIFTY,43876.21,44300.81,-169.84,0,0.5334,30,75000.0,1.0,,,,169.84,254.76,339.68,,neutral,True,0.267,,,,,,,,
18,2023-06-27,PRE-IS,ORB,NSE-BANKNIFTY-28Jun23-FUT,FUT,LONG,43796.95,2189847.5,43962.1,2198105.0,8217.5,TARGET HIT,2,227338.75,235556.25,2023-06-27 11:45:00,2023-06-27 14:15:00,2023,NSE-BANKNIFTY,43650.15,43962.1,165.15,1,0.109,30,75000.0,73.4,0.168,0.2,68.9,146.8,165.15,367.0,0.0,neutral,True,,,,,,,,,
19,2023-06-28,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-06-28-44500-CE,44500.0,LONG,44499.95,19250.0,44561.55,38500.0,19210.0,TARGET HIT,25,235556.25,254766.25,2023-06-28 11:15:00,2023-06-28 11:45:00,2023,NSE-BANKNIFTY,44343.75,44675.68,30.8,1,0.9668,1,924.0,290.05,,,,,,390.51,,neutral,True,,44500.0,CE,2023-06-28,0.0,30.8,61.6,924.0,0.1
20,2023-07-07,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-07-13-45100-PE,45100.0,SHORT,45136.0,19406.25,45359.6,27791.25,8345.0,SQUARE OFF,3,254766.25,263111.25,2023-07-07 10:30:00,2023-07-07 12:00:00,2023,NSE-BANKNIFTY,45304.94,44945.94,111.8,1,0.5833,1,7762.5,-175.0,,,,,,422.36,,neutral,True,,45100.0,PE,2023-07-13,6.0,258.75,370.55,7762.5,0.1
21,2023-07-11,PRE-IS,ORB,NSE-BANKNIFTY-27Jul23-FUT,FUT,LONG,45137.95,3385346.25,44978.13,3373359.75,-12026.5,STOP LOSS,3,263111.25,251084.75,2023-07-11 11:15:00,2023-07-11 14:00:00,2023,NSE-BANKNIFTY,44978.13,45317.74,-159.82,0,0.0755,30,75000.0,91.1,0.203,0.228,123.85,159.82,179.79,399.54,0.0,neutral,True,,,,,,,,,
22,2023-07-19,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-07-20-45700-CE,45700.0,LONG,45665.0,18615.0,45615.3,14887.5,-3767.5,SQUARE OFF,6,251084.75,247317.25,2023-07-19 10:15:00,2023-07-19 12:00:00,2023,NSE-BANKNIFTY,45492.22,45859.37,-24.85,0,0.63,1,3723.0,189.0,,,,,,431.94,,neutral,True,,45700.0,CE,2023-07-20,1.0,124.1,99.25,3723.0,0.1
23,2023-08-02,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-08-03-45400-PE,45400.0,SHORT,45397.45,15967.5,45823.25,31935.0,15927.5,TARGET HIT,3,247317.25,263244.75,2023-08-02 10:15:00,2023-08-02 11:00:00,2023,NSE-BANKNIFTY,45572.42,45200.61,212.9,1,0.8205,1,6387.0,-246.15,,,,,,437.41,,neutral,True,,45400.0,PE,2023-08-03,1.0,212.9,425.8,6387.0,0.1
24,2023-08-08,PRE-IS,VWAP_REV,NSE-BANKNIFTY-31Aug23-FUT,FUT,SHORT,45087.55,3381566.25,45058.15,3379361.25,2165.0,SQUARE OFF,3,263244.75,265409.75,2023-08-08 11:00:00,2023-08-08 14:45:00,2023,NSE-BANKNIFTY,45312.48,44750.15,29.4,1,0.0656,30,75000.0,24.3,,,,224.93,337.4,449.87,,neutral,True,0.033,,,,,,,,
25,2023-08-25,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-08-31-44100-PE,44100.0,SHORT,44092.45,21575.0,44095.45,21762.5,147.5,SQUARE OFF,5,265409.75,265557.25,2023-08-25 10:15:00,2023-08-25 12:00:00,2023,NSE-BANKNIFTY,44242.88,43923.22,1.5,1,0.5833,1,5178.0,-175.0,,,,,,376.06,,neutral,True,,44100.0,PE,2023-08-31,6.0,172.6,174.1,5178.0,0.1
26,2023-09-01,PRE-IS,ORB,NSE-BANKNIFTY-28Sep23-FUT,FUT,SHORT,44115.5,3308662.5,44269.24,3320193.0,-11570.5,STOP LOSS,3,265557.25,253986.75,2023-09-01 10:00:00,2023-09-01 11:00:00,2023,NSE-BANKNIFTY,44269.24,43942.55,-153.74,0,0.5351,30,75000.0,90.85,0.205,0.236,124.75,153.74,172.95,384.34,0.0,neutral,True,,,,,,,,,
27,2023-09-08,PRE-IS,ORB,NSE-BANKNIFTY-28Sep23-FUT,FUT,LONG,45306.95,3398021.25,45506.48,3412986.0,14924.75,TARGET HIT,3,253986.75,268911.5,2023-09-08 11:30:00,2023-09-08 14:15:00,2023,NSE-BANKNIFTY,45129.59,45506.48,199.53,1,0.895,30,75000.0,97.8,0.217,0.221,159.4,177.36,199.53,443.39,0.0,neutral,True,,,,,,,,,
28,2023-09-20,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-09-20-45500-PE,45500.0,SHORT,45542.85,20300.0,45745.85,40600.0,20260.0,TARGET HIT,8,268911.5,289171.5,2023-09-20 11:00:00,2023-09-20 11:30:00,2023,NSE-BANKNIFTY,45732.54,45329.45,101.5,1,1.0,1,3045.0,-320.7,,,,,,474.22,,neutral,True,,45500.0,PE,2023-09-20,0.0,101.5,203.0,3045.0,0.1
29,2023-09-22,PRE-IS,ORB,NSE-BANKNIFTY-28Sep23-FUT,FUT,LONG,45043.65,3378273.75,44853.97,3364047.75,-14266.0,STOP LOSS,3,289171.5,274905.5,2023-09-22 10:45:00,2023-09-22 13:15:00,2023,NSE-BANKNIFTY,44853.97,45257.04,-189.68,0,0.1381,30,75000.0,53.5,0.12,0.113,299.05,189.68,213.39,474.19,0.0,neutral,True,,,,,,,,,
30,2023-09-25,PRE-IS,VWAP_REV,NSE-BANKNIFTY-28Sep23-FUT,FUT,LONG,44680.75,3351056.25,44884.75,3366356.25,15260.0,SQUARE OFF,3,274905.5,290165.5,2023-09-25 11:45:00,2023-09-25 14:45:00,2023,NSE-BANKNIFTY,44449.93,45026.98,204.0,1,0.3764,30,75000.0,37.9,,,,230.82,346.23,461.64,,neutral,True,0.188,,,,,,,,
31,2023-09-27,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-09-28-44200-PE,44200.0,SHORT,44202.05,23415.0,44068.25,11707.5,-11747.5,STOP LOSS,7,290165.5,278418.0,2023-09-27 10:00:00,2023-09-27 11:30:00,2023,NSE-BANKNIFTY,44381.66,43999.99,-66.9,0,0.3537,1,4014.0000000000005,-106.1,,,,,,449.02,,neutral,True,,44200.0,PE,2023-09-28,1.0,133.8,66.9,4014.0000000000005,0.1
32,2023-09-29,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-10-04-44800-CE,44800.0,LONG,44843.0,21756.25,44868.7,23362.5,1566.25,SQUARE OFF,5,278418.0,279984.25,2023-09-29 10:00:00,2023-09-29 12:00:00,2023,NSE-BANKNIFTY,44659.01,45049.99,12.85,1,0.6068,1,5221.5,182.05,,,,,,459.98,,neutral,True,,44800.0,CE,2023-10-04,5.0,174.05,186.9,5221.5,0.1
33,2023-10-04,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-10-04-44100-PE,44100.0,SHORT,44118.95,22315.0,44175.85,25160.0,2805.0,SQUARE OFF,4,279984.25,282789.25,2023-10-04 10:00:00,2023-10-04 12:00:00,2023,NSE-BANKNIFTY,44293.05,43923.08,28.45,1,0.7627,1,6694.5,-228.8,,,,,,435.26,,neutral,True,,44100.0,PE,2023-10-04,0.0,223.15,251.6,6694.5,0.1
