trade_id,date,strategy,contract,strike,direction,entry,entry_value,exit_price,exit_value,pnl_rs,exit_reason,lots_at_entry,capital_at_entry,equity_after,entry_time,exit_time,year,instrument,stop,target,pnl_pts,win,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,atm_strike,opt_type,expiry,premium_entry,premium_exit,margin_per_lot,per_trade_risk_pct
11,2025-03-18,OPT_ORB,NSE-BANKNIFTY-2025-03-27-49000-CE,49000.0,LONG,49029.15,6035.25,49202.45,7335.0,1259.75,SQUARE OFF,1,112803.54999999999,114063.29999999999,2025-03-18 10:00:00,2025-03-18 12:00:00,2025,NSE-BANKNIFTY,48847.72,49233.26,86.65,1,1.0,1,6035.25,300.0,,,,,,453.57,,neutral,True,,49000.0,CE,2025-03-27,402.35,489.0,6035.25,0.1
12,2025-04-02,ORB,NSE-BANKNIFTY-24Apr25-FUT,FUT,LONG,51504.8,772572.0,51645.0,774675.0,2063.0,SQUARE OFF,1,114063.29999999999,116126.29999999999,2025-04-02 12:00:00,2025-04-02 15:30:00,2025,NSE-BANKNIFTY,51277.11,51760.95,140.2,1,0.0867,15,75000.0,72.55,0.142,0.127,333.95,227.69,256.15,569.21,0.0,neutral,True,,,,,,,,
13,2025-04-09,OPT_ORB,NSE-BANKNIFTY-2025-04-24-50400-PE,50400.0,SHORT,50374.95,14230.5,50509.55,15240.0,969.5,SQUARE OFF,1,116126.29999999999,117095.79999999999,2025-04-09 10:00:00,2025-04-09 12:00:00,2025,NSE-BANKNIFTY,50645.12,50071.01,67.3,1,0.4283,1,14230.5,-128.5,,,,,,675.43,,neutral,True,,50400.0,PE,2025-04-24,948.7,1016.0,14230.5,0.1
14,2025-04-16,ORB,NSE-BANKNIFTY-24Apr25-FUT,FUT,LONG,52771.0,791565.0,53086.1,796291.5,4686.5,TARGET HIT,1,117095.79999999999,121782.29999999999,2025-04-16 10:00:00,2025-04-16 14:00:00,2025,NSE-BANKNIFTY,52490.91,53086.1,315.1,1,0.0714,15,75000.0,63.0,0.12,0.09,321.8,280.09,315.1,700.23,0.0,neutral,True,,,,,,,,
15,2025-04-22,ORB,NSE-BANKNIFTY-24Apr25-FUT,FUT,LONG,55633.8,834507.0,55548.2,833223.0,-1324.0,SQUARE OFF,1,121782.29999999999,120458.29999999999,2025-04-22 10:00:00,2025-04-22 15:30:00,2025,NSE-BANKNIFTY,55338.5,55966.02,-85.6,0,0.3784,15,75000.0,70.2,0.127,0.095,292.8,295.3,332.22,738.26,0.0,neutral,True,,,,,,,,
16,2025-04-25,VWAP_REV,NSE-BANKNIFTY-29May25-FUT,FUT,LONG,54871.0,823065.0,54869.0,823035.0,-70.0,SQUARE OFF,1,120458.29999999999,120388.29999999999,2025-04-25 13:30:00,2025-04-25 14:45:00,2025,NSE-BANKNIFTY,54505.46,55419.32,-2.0,0,0.0608,15,75000.0,20.0,,,,365.54,548.32,731.09,,neutral,True,0.03,,,,,,,
17,2025-05-15,VWAP_REV,NSE-BANKNIFTY-29May25-FUT,FUT,SHORT,54789.2,821838.0,55177.01,827655.15,-5857.15,STOP LOSS,1,120388.29999999999,114531.15,2025-05-15 11:00:00,2025-05-15 13:15:00,2025,NSE-BANKNIFTY,55177.01,54207.49,-387.81,0,0.1563,15,75000.0,19.0,,,,387.81,581.71,775.61,,neutral,True,0.078,,,,,,,
18,2025-05-21,VWAP_REV,NSE-BANKNIFTY-29May25-FUT,FUT,SHORT,55209.6,828144.0,55117.0,826755.0,1349.0,SQUARE OFF,1,114531.15,115880.15,2025-05-21 11:30:00,2025-05-21 14:45:00,2025,NSE-BANKNIFTY,55552.64,54695.04,92.6,1,0.1899,15,75000.0,24.6,,,,343.04,514.56,686.09,,neutral,True,0.095,,,,,,,
19,2025-05-30,OPT_ORB,NSE-BANKNIFTY-2025-06-26-55800-PE,55800.0,SHORT,55760.0,14070.0,55767.0,14122.5,12.5,SQUARE OFF,1,115880.15,115892.65,2025-05-30 10:30:00,2025-05-30 12:00:00,2025,NSE-BANKNIFTY,56005.07,55484.3,3.5,1,0.6673,1,14070.0,-200.2,,,,,,612.67,,neutral,True,,55800.0,PE,2025-06-26,938.0,941.5,14070.0,0.1
20,2025-06-20,ORB,NSE-BANKNIFTY-26Jun25-FUT,FUT,LONG,56075.6,841134.0,56284.13,844261.95,3087.95,TARGET HIT,1,115892.65,118980.59999999999,2025-06-20 10:15:00,2025-06-20 11:30:00,2025,NSE-BANKNIFTY,55890.24,56284.13,208.53,1,1.0,15,75000.0,58.2,0.105,0.126,214.0,185.36,208.53,463.4,0.0,neutral,True,,,,,,,,
