date,year,direction,pnl_pts,win,exit_reason,ema_gap_pct,ema_slope_signed,ema_consistency,atr_ratio,atr_v,body_atr,rsi_signed,rsi_v,pat_stack,entry_hour,dow,_q,_hr
2024-08-12,2024,1,160.67142857143335,1,TARGET,0.14082520380614819,0.061169260164188895,30,0.9568352209283861,107.11428571428665,1.7514003734329544,13.670056359421565,63.670056359421565,1,10.75,0,"(0.999, 3.0]",10:45
2024-08-12,2024,1,-110.84999999999854,0,STOP,0.16955568793792908,0.07896509750119277,30,0.9902057744456954,110.85000000000115,0.755074424898543,17.209385191716066,67.20938519171607,1,11.0,0,"(0.999, 3.0]",11:00
2024-08-12,2024,1,-123.82142857142753,0,STOP,0.24013211725090433,0.15810294618172915,30,1.0857957125632292,123.8214285714291,0.48093452552641314,14.380091733368786,64.38009173336879,1,12.0,0,"(0.999, 3.0]",12:00
2024-08-12,2024,1,-136.75,0,STOP,0.25748773314711026,0.22723852975221145,30,1.1991669406993328,136.75,0.684460694698344,12.7950518747286,62.7950518747286,2,12.75,0,"(0.999, 3.0]",12:45
2024-08-13,2024,1,-103.85714285714494,0,STOP,0.028461826792839692,-0.05368044790730957,30,1.0207269344846384,103.85714285714286,0.4804676753782108,-13.055999994387392,36.94400000561261,1,11.0,1,"(0.999, 3.0]",11:00
2024-08-13,2024,-1,150.39107142857392,1,TARGET,0.014044745365061681,0.09365315787276768,2,0.9905961643642287,100.26071428571439,0.0398959854664624,10.387781002856372,39.61221899714363,1,11.75,1,"(0.999, 3.0]",11:45
2024-08-13,2024,-1,136.6875,1,TARGET,0.03953988602563412,0.10529983135909096,4,0.9290512862526685,91.12500000000053,0.723182441700972,14.465192075162577,35.53480792483742,1,12.25,1,"(0.999, 3.0]",12:15
2024-08-13,2024,-1,152.33035714285506,1,TARGET,0.07850996274583771,0.122277825297603,6,1.0641642184839373,101.55357142857143,1.0821874450501285,21.231263274028734,28.768736725971266,1,12.75,1,"(0.999, 3.0]",12:45
2024-08-14,2024,-1,-12.0,0,SQUAREOFF,0.3956045931284742,0.33583593996992195,21,1.2742285502567123,128.96785714285735,0.5295893218133196,20.0178565003353,29.9821434996647,1,10.0,2,"(0.999, 3.0]",10:00
2024-08-14,2024,-1,-8.94999999999709,0,SQUAREOFF,0.411471212380738,0.3183297176586078,25,1.2434616054327008,127.52142857142826,0.5473589872850743,15.687478938998197,34.3125210610018,1,11.0,2,"(0.999, 3.0]",11:00
2024-08-14,2024,-1,-31.599999999998545,0,SQUAREOFF,0.41461806571260107,0.3101973315283838,28,1.0621075150093162,109.93571428571418,0.14963290234550028,16.514382165485657,33.48561783451434,1,11.75,2,"(0.999, 3.0]",11:45
2024-08-14,2024,-1,-25.75,0,SQUAREOFF,0.40151021883626287,0.2761251343093842,30,0.9923328199312828,104.69642857142806,0.38205696742282297,14.143468036020792,35.85653196397921,1,12.5,2,"(0.999, 3.0]",12:30
2024-08-14,2024,-1,11.44999999999709,0,SQUAREOFF,0.3748735567357413,0.246275674542499,30,0.69142906070725,72.09999999999958,0.03190013869619484,9.144986956615966,40.855013043384034,1,13.25,2,"(0.999, 3.0]",13:15
2024-08-14,2024,-1,-64.17857142857247,0,STOP,0.36738861168699005,0.23695154262520185,30,0.6200400248430067,64.17857142857143,0.33734001112956985,11.29245511563689,38.70754488436311,1,13.5,2,"(0.999, 3.0]",13:30
2024-08-19,2024,1,-95.81428571428842,0,STOP,0.2667250045341974,0.19831467735495645,20,0.9133868990875778,95.81428571428634,0.5395855076785868,5.729781674527402,55.7297816745274,1,10.75,0,"(0.999, 3.0]",10:45
2024-08-19,2024,1,-98.80357142857247,0,STOP,0.25108669263627387,0.16332614650040397,23,0.9856946893984079,98.80357142857194,1.2813302006144736,12.392236730251902,62.3922367302519,1,11.5,0,"(0.999, 3.0]",11:30
2024-08-19,2024,1,-45.5,0,SQUAREOFF,0.21053701954957899,0.11554362953913287,28,1.1411082706225508,113.18571428571418,0.34191594093143995,0.11153277546319629,50.111532775463196,1,12.75,0,"(0.999, 3.0]",12:45
2024-08-19,2024,1,-8.25,0,SQUAREOFF,0.14974894419836224,0.07335679239702873,30,0.8875569320459057,86.99642857142837,0.0764399195369437,-3.9469828105000744,46.053017189499926,1,14.0,0,"(0.999, 3.0]",14:00
2024-08-21,2024,1,-79.91428571428696,0,STOP,0.08168375558360513,-0.027699585154035238,30,0.9733774143031222,79.91428571428644,0.055684662137968084,-11.467496537276233,38.53250346272377,1,11.0,2,"(0.999, 3.0]",11:00
2024-08-21,2024,1,-114.6607142857174,0,STOP,0.014444122384104719,-0.08044308144639507,30,1.3601220106335774,114.6607142857148,0.10727301043453666,-8.277987769904293,41.72201223009571,1,12.0,2,"(0.999, 3.0]",12:00
2024-08-21,2024,1,-115.47142857142899,0,STOP,0.008520868468485182,-0.07332905930757198,30,1.3697388209875343,115.47142857142899,0.5581467277000841,-3.677727276001278,46.32227272399872,1,12.25,2,"(0.999, 3.0]",12:15
2024-08-21,2024,-1,-123.08214285714348,0,STOP,0.009086417695220676,0.0637390838972712,1,1.4600182168654354,123.08214285714295,0.3245799843309978,6.745342636669598,43.2546573633304,1,12.75,2,"(0.999, 3.0]",12:45
2024-08-22,2024,1,-78.87857142856956,0,STOP,0.031919575962581166,0.019352584237940226,2,0.9632133278091451,78.87857142857008,0.4107579462102944,18.764705923507037,68.76470592350704,1,9.5,3,"(0.999, 3.0]",09:30
2024-08-22,2024,1,127.41428571428696,1,TARGET,0.12707169780529767,0.14076130196553285,6,1.0295658196614912,84.94285714285641,0.10771947527751553,19.3547840769955,69.3547840769955,1,10.5,3,"(0.999, 3.0]",10:30
2024-08-22,2024,1,130.10892857142608,1,TARGET,0.16587902879074626,0.18729789768306912,9,1.0263269100743697,86.73928571428509,0.10779429324336677,14.568657155645724,64.56865715564572,1,11.25,3,"(0.999, 3.0]",11:15
