feature,ic_pearson,ic_p_pvalue,ic_spearman,ic_s_pvalue,ic_p_ci_lo,ic_p_ci_hi,sign_match,n,feat_std,abs_ic_p
pvol_fii_fut_stk_short,-0.20368910284941863,0.009552669147424512,-0.09618414998849782,0.2248444183491284,-0.29667836998249986,-0.0991864851356377,0.5093167701863354,161,644792.947714091,0.20368910284941863
pvol_fii_fut_stk_long,-0.2026160323851056,0.009946881233927604,-0.08737922705314012,0.2703796229559772,-0.3000961488006776,-0.08966240817825355,0.5093167701863354,161,650104.6494185529,0.2026160323851056
fii_stats_stk_fut_sell_crore,-0.20138205092145778,0.010417892268708304,-0.1478117092247527,0.06131758191329594,-0.3007359186995254,-0.09151347182443156,0.4720496894409938,161,42953.621760006004,0.20138205092145778
fii_stats_stk_fut_buy_crore,-0.20132142511673395,0.010441531497642379,-0.1257994018863584,0.11181190921489277,-0.29401055049180785,-0.08573412234684671,0.4720496894409938,161,43441.558521043735,0.20132142511673395
poi_client_opt_idx_pe_long,-0.20048606160056348,0.010772102932602763,-0.18589832068092937,0.018224532737403883,-0.3139546402925172,-0.08374194582105535,0.4472049689440994,161,520621.84058705,0.20048606160056348
poi_client_opt_idx_pe_short,-0.19881195346251446,0.011462433763840284,-0.17508051529790664,0.0263238903198343,-0.334348568554318,-0.057053007062107114,0.484472049689441,161,508397.61070672947,0.19881195346251446
poi_client_fut_idx_net,0.19838396361952004,0.011645043707503895,0.2020531400966184,0.010159355014248436,-0.008813958007973787,0.40232129956615176,0.5714285714285714,161,26882.69528915921,0.19838396361952004
fii_stats_stk_fut_sell_contracts,-0.1977917061667931,0.0119019563471282,-0.10243846330802853,0.19598511961472542,-0.29109135155496285,-0.09530128195155005,0.4968944099378882,161,656617.3844455692,0.1977917061667931
fii_stats_stk_fut_buy_contracts,-0.1967891566085288,0.01234820458054229,-0.09405912123303428,0.23530250404897218,-0.28902069291416793,-0.08984412216763937,0.5093167701863354,161,661883.3573927872,0.1967891566085288
fii_stats_idx_opt_eod_oi_crore,-0.19499287939685125,0.013184558641198824,-0.16712100299056823,0.03409636439538046,-0.320354421780796,-0.07486320395799964,0.4720496894409938,161,81304.25614524767,0.19499287939685125
nifty_max_ce_oi_strike,-0.1918350241128398,0.014775588806187283,-0.19360384559696694,0.01386491047490798,-0.3720078731792989,-0.016699503146977584,0.45962732919254656,161,853.3075263186477,0.1918350241128398
poi_client_fut_stk_long,-0.19068685307095834,0.01539429443736565,-0.16300034506556246,0.0388317965005948,-0.34116867055976063,-0.018648703825608775,0.484472049689441,161,147331.31041517048,0.19068685307095834
poi_fii_opt_idx_pe_short,-0.1899626090831991,0.01579607611500768,-0.1454077524729699,0.06570432881552732,-0.3279478662905525,-0.06886206320124438,0.4968944099378882,161,120263.12616132607,0.1899626090831991
poi_fii_opt_idx_ce_long,-0.1883184840209563,0.01674223061889632,-0.1955314009661836,0.012928762103210768,-0.3219876121364226,-0.06145226098988644,0.45962732919254656,161,134981.27385933997,0.1883184840209563
poi_pro_opt_idx_pe_short,-0.18556058228450006,0.018440184476717764,-0.15804865424430645,0.045242777405709034,-0.29781435471636003,-0.07048210604030232,0.45962732919254656,161,216254.53099140455,0.18556058228450006
fii_stats_stk_opt_eod_oi_crore,-0.18328899190889855,0.019948932223790614,-0.1310098918794571,0.09761572044138173,-0.299056777178749,-0.05743176415111486,0.45962732919254656,161,19029.429934847594,0.18328899190889855
poi_dii_total_net,0.1810092225602127,0.021569265352154348,0.15434782608695655,0.050591853288531594,0.011540585607876337,0.3434380371307897,0.5093167701863354,161,291087.8398334332,0.1810092225602127
poi_pro_opt_idx_pe_long,-0.1805085198510635,0.02193996019654925,-0.17007418909592822,0.03101158942824232,-0.3265150909320314,-0.035038607641526345,0.4472049689440994,161,214205.16430873694,0.1805085198510635
fii_stats_bn_opt_eod_oi_crore,-0.17764184189377977,0.024169718450605972,-0.11824534161490685,0.13519634386666765,-0.30016397943606105,-0.035856114119747054,0.45962732919254656,161,20847.42010722942,0.17764184189377977
poi_client_opt_idx_ce_short,-0.175361232739629,0.026080045824346306,-0.1840177133655395,0.019453701952388047,-0.30861914714678557,0.0009326648013594147,0.45962732919254656,161,611459.7635415661,0.175361232739629
banknifty_atm_strike,-0.17333841846617157,0.027881208229622964,-0.1741992312558337,0.027102134747340155,-0.37142277845352184,0.014480440283288192,0.4409937888198758,161,2498.9485366489394,0.17333841846617157
pvol_dii_fut_idx_short,-0.17319283324224594,0.02801484229163042,-0.04141089237125275,0.6019663101769754,-0.29866019797635773,-0.06806015260176945,0.5093167701863354,161,13145.078819113802,0.17319283324224594
fii_stats_stk_opt_eod_oi_contracts,-0.17224936963777177,0.028894179892004865,-0.11397515527950314,0.14997786286960668,-0.30023117033539504,-0.05089815822420595,0.4968944099378882,161,292423.77935931535,0.17224936963777177
banknifty_spot,-0.17156685995373577,0.02954487682359652,-0.17409707844490455,0.027193603366107037,-0.3734261757298034,0.028730069989725424,0.4472049689440994,161,2498.547994541387,0.17156685995373577
pvol_dii_fut_idx_long,-0.170970060740667,0.030124048994370718,-0.07838090818035032,0.3229987212703208,-0.2860014858866701,-0.0629809408993278,0.484472049689441,161,13209.029904004734,0.170970060740667
banknifty_atm_straddle,0.17073897190370485,0.03035089377935893,0.2612520128824477,0.0008156882767831186,0.03597148838802519,0.3072558780277114,0.546583850931677,161,24664.682663202675,0.17073897190370485
poi_pro_fut_stk_long,-0.16425980112866184,0.03732899534143367,-0.141393489763055,0.07359832591988393,-0.2798768999942734,-0.04276633506108114,0.45962732919254656,161,92352.78739094798,0.16425980112866184
poi_client_opt_idx_ce_long,-0.16333648843810072,0.0384258081895591,-0.1612203818725558,0.04104224486553494,-0.30971793419203286,0.019934005257715513,0.4720496894409938,161,629819.8046851247,0.16333648843810072
poi_client_total_net,-0.16248648860907441,0.03945939689249902,-0.10348228663446056,0.19144308374042276,-0.27968859056534684,-0.05530348601873096,0.484472049689441,161,384739.4193463793,0.16248648860907441
poi_pro_total_net,0.16044045751333635,0.042043551365989466,0.14157464918334486,0.07322623708688175,0.051347545290677296,0.2719723317273612,0.5341614906832298,161,216810.9920665772,0.16044045751333635
mkt_stk_fut_crore,-0.16042007781309012,0.042069987962565496,-0.17942259029215554,0.022762835020945466,-0.27083644791779765,-0.0597084818560831,0.45962732919254656,161,91629.9836798072,0.16042007781309012
