DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
04-MAY-2026,FUTCUR,USDJPY,27-JAN-2027,154.1000000
04-MAY-2026,FUTCUR,USDJPY,24-FEB-2027,153.7600000
04-MAY-2026,FUTCUR,USDJPY,29-MAR-2027,153.3500000
04-MAY-2026,FUTCUR,USDJPY,28-APR-2027,152.9800000
04-MAY-2026,OPTCUR,GBPUSD,,1.3512000
04-MAY-2026,OPTCUR,GBPINR,,128.6679000
04-MAY-2026,OPTCUR,JPYINR,,60.4742000
04-MAY-2026,OPTCUR,USDINR,,95.1995000
04-MAY-2026,OPTCUR,EURINR,,111.1736000
04-MAY-2026,OPTCUR,EURUSD,,1.1675000
04-MAY-2026,OPTCUR,USDJPY,,157.4548000
