trade_date,mode,vol_20d,direction,score,signal_count,opt_strike,opt_side,otm_dist,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,day_open,regime_5d_ret,vs_open_pct,orb_high,orb_low
2025-11-25,orb,0.554,0,-0.45,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25961.0,0.11,-0.28,26002.0,25939.2
2025-11-26,orb,0.703,0,0.262,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26111.0,-0.75,1.02,26244.0,26102.1
2025-11-27,orb,0.646,0,0.407,1,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26415.0,0.59,-0.06,26469.8,26401.0
2025-11-28,orb,0.612,0,-0.257,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26393.7,1.22,-0.03,26438.9,26370.0
2025-12-01,orb,0.603,0,-0.354,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26478.7,1.67,-0.52,26481.8,26447.9
2025-12-02,orb,0.611,0,-0.747,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26270.1,1.73,-0.22,26315.0,26250.0
2025-12-03,orb,0.585,0,-0.653,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26194.6,-0.61,-0.22,26204.0,26080.0
2025-12-04,orb,0.581,0,-0.087,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26096.4,-0.95,0.35,26165.0,26070.3
2025-12-05,orb,0.586,0,0.319,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26178.6,-0.78,0.58,26200.0,26163.1
2025-12-08,orb,0.644,0,-0.59,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26324.9,0.02,-1.01,26324.9,26256.0
2025-12-09,orb,0.641,0,-0.277,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25994.9,-0.68,-0.13,25999.0,25896.0
2025-12-10,orb,0.634,0,-0.232,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25949.2,-0.7,-0.33,26029.9,25928.7
2025-12-11,orb,0.649,0,-0.032,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25906.1,-1.27,0.41,25920.0,25805.0
2025-12-12,orb,0.659,0,-0.137,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26080.2,-1.22,0.24,26148.7,26075.1
2025-12-15,orb,0.656,0,-0.224,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26068.0,0.38,0.16,26078.5,25988.4
2025-12-16,orb,0.664,0,-0.195,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26037.6,0.56,-0.4,26037.7,25992.2
2025-12-17,orb,0.651,0,0.238,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25936.1,0.29,-0.16,26004.9,25926.0
2025-12-18,orb,0.633,0,-0.566,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25869.9,-0.4,0.04,25878.1,25810.0
2025-12-19,orb,0.636,0,-0.233,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25951.6,-1.02,0.3,26034.0,25951.6
2025-12-22,orb,0.643,0,-0.182,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26131.0,-0.25,0.24,26188.2,26131.0
2025-12-23,orb,0.638,0,-0.809,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26238.0,1.04,-0.13,26238.0,26163.0
2025-12-24,orb,0.457,0,-0.454,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26206.9,1.13,-0.12,26256.2,26166.7
2025-12-26,orb,0.464,0,0.018,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26137.9,1.09,-0.3,26149.0,26090.8
2025-12-29,orb,0.469,0,0.19,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26067.7,0.08,-0.41,26100.0,26054.1
2025-12-30,orb,0.467,0,-0.231,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25935.0,-0.94,0.01,25952.0,25880.1
2025-12-31,orb,0.567,0,0.222,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26136.2,-1.01,0.63,26187.2,26130.2
