trade_date,mode,vol_20d,direction,score,signal_count,opt_strike,opt_side,otm_dist,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,day_open,regime_5d_ret,vs_open_pct,orb_high,orb_low
2025-09-25,otm,0.403,0,-0.1,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25091.2,-1.56,-0.45,25133.0,25050.0
2025-09-26,otm,0.473,0,0.256,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,24911.2,-1.83,-0.91,24911.2,24821.0
2025-09-29,otm,0.46,0,-0.506,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,24753.2,-2.34,-0.3,24800.0,24721.0
2025-09-30,otm,0.462,0,0.003,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,24714.9,-2.21,-0.42,24749.0,24651.2
2025-10-01,otm,0.563,0,0.295,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,24750.0,-2.0,0.86,24819.9,24734.1
2025-10-03,otm,0.563,0,-0.563,1,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,24950.3,0.08,0.19,24955.3,24879.8
2025-10-06,otm,0.582,0,0.282,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25006.9,1.31,0.74,25045.0,24973.2
2025-10-07,otm,0.582,0,-0.433,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25192.6,1.97,0.12,25247.0,25180.0
2025-10-08,otm,0.592,0,-0.154,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25206.8,2.52,-0.33,25289.8,25190.0
2025-10-09,otm,0.601,0,0.518,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25150.0,0.52,0.49,25210.0,25128.1
2025-10-10,otm,0.611,0,-0.13,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25265.4,1.09,0.56,25387.9,25258.8
2025-10-13,otm,0.613,0,0.281,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25310.0,0.93,0.01,25342.2,25240.4
2025-10-14,otm,0.624,0,0.017,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25343.4,0.37,-0.54,25370.0,25304.8
2025-10-15,otm,0.643,0,0.003,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25250.0,0.29,0.72,25367.5,25250.0
2025-10-16,otm,0.667,0,-0.166,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25479.4,0.61,0.67,25526.2,25479.4
2025-10-17,otm,0.668,0,0.606,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25612.8,0.92,0.58,25684.0,25594.3
2025-10-20,otm,0.677,0,0.372,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25913.0,1.7,0.01,25969.5,25872.5
2025-10-21,otm,0.663,0,0.0,0,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25960.0,2.96,0.0,26089.8,25830.2
2025-10-23,otm,0.662,0,-0.064,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26110.0,1.69,-0.46,26167.1,26036.1
2025-10-24,otm,0.661,0,0.084,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25990.0,1.18,-0.67,25997.9,25905.6
2025-10-27,otm,0.655,0,0.447,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25881.8,0.25,0.53,26014.4,25881.8
2025-10-28,otm,0.596,0,0.131,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26007.9,0.41,-0.26,26072.3,25975.6
2025-10-29,otm,0.634,0,0.822,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26140.1,0.27,0.37,26196.6,26131.2
2025-10-30,otm,0.671,0,-0.215,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26193.8,1.2,-0.57,26193.8,26050.0
2025-10-31,otm,0.626,0,-0.342,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26007.9,0.86,-0.39,26116.1,25968.0
